Rk,Season,Team,Yds,G,W,L,T,WLp,Pts,PtsO,PtDif,Cmp,Att,Cmpp,Yds2,TD,Int,Rate,Sk
1,2025,Duke,3875,14,9,5,0,.643,484,412,72,311,463,67.2,3875,21,14,146.4,26
2,2025,SMU,3681,13,9,4,0,.692,419,267,152,318,522,60.9,3681,26,18,129.7,34
3,2025,Tulane,3663,14,11,3,0,.786,388,335,53,323,478,67.6,3663,23,15,141.5,36
4,2025,North Carolina State,3551,13,8,5,0,.615,393,353,40,295,470,62.8,3551,22,9,137.8,20
5,2025,Appalachian State,3483,13,5,8,0,.385,314,387,-73,296,469,63.1,3483,22,13,135.4,28
6,2025,Stanford,3467,12,4,8,0,.333,226,350,-124,294,445,66.1,3467,22,3,146.5,23
7,2025,Nevada-Las Vegas,3384,14,10,4,0,.714,477,392,85,266,444,59.9,3384,23,14,134.7,30
8,2025,Utah State,3365,13,6,7,0,.462,402,373,29,282,479,58.9,3365,26,13,130.4,29
9,2025,Sam Houston,3311,12,2,10,0,.167,213,454,-241,261,371,70.4,3311,20,8,158.8,21
10,2025,Jacksonville State,3283,14,9,5,0,.643,394,353,41,273,446,61.2,3283,19,14,130.8,28
11,2025,Miami (FL),3278,16,13,3,0,.813,495,237,258,312,521,59.9,3278,13,16,114.8,50
12,2025,Clemson,3266,13,7,6,0,.538,354,267,87,294,484,60.7,3266,18,9,126.0,35
13,2025,Charlotte,3260,12,1,11,0,.083,172,436,-264,274,402,68.2,3260,24,7,152.5,14
14,2025,Florida International,3249,13,7,6,0,.538,371,390,-19,278,458,60.7,3249,26,12,133.8,31
15,2025,Vanderbilt,3242,13,10,3,0,.769,500,297,203,305,458,66.6,3242,24,8,139.9,31
16,2025,Texas Christian,3193,13,9,4,0,.692,399,329,70,261,425,61.4,3193,25,14,137.3,23
17,2025,Delaware,3193,13,7,6,0,.538,377,403,-26,265,428,61.9,3193,21,14,134.2,26
18,2025,West Virginia,3185,12,4,8,0,.333,261,370,-109,253,390,64.9,3185,28,11,151.5,28
19,2025,Arkansas State,3184,13,7,6,0,.538,327,356,-29,268,392,68.4,3184,21,7,150.7,39
20,2025,Tennessee,3182,13,8,5,0,.615,517,375,142,291,441,66.0,3182,19,10,136.3,37
21,2025,Air Force,3176,12,4,8,0,.333,358,364,-6,234,336,69.6,3176,17,7,161.6,16
22,2025,South Florida,3156,13,9,4,0,.692,526,304,222,295,479,61.6,3156,15,14,121.4,33
23,2025,Marshall,3140,12,5,7,0,.417,369,363,6,215,368,58.4,3140,24,13,144.6,29
24,2025,Georgia Southern,3126,13,7,6,0,.538,363,420,-57,264,415,63.6,3126,15,12,133.0,12
25,2025,Louisiana Tech,3124,13,8,5,0,.615,355,270,85,266,484,55.0,3124,19,22,113.0,21
26,2025,Rice,3122,13,5,8,0,.385,248,428,-180,231,375,61.6,3122,25,3,151.9,25
27,2025,Kennesaw State,3081,14,10,4,0,.714,374,357,17,257,421,61.0,3081,19,9,133.1,31
28,2025,Middle Tennessee State,3074,12,3,9,0,.250,269,371,-102,241,374,64.4,3074,31,10,155.5,24
29,2025,Boston College,3068,12,2,10,0,.167,305,393,-88,240,374,64.2,3068,23,6,150.2,17
30,2025,Coastal Carolina,3066,13,6,7,0,.462,288,430,-142,258,414,62.3,3066,25,12,138.7,19
31,2025,Pitt,3059,13,8,5,0,.615,438,322,116,271,431,62.9,3059,28,15,137.0,31
32,2025,Georgia Tech,3057,13,9,4,0,.692,418,325,93,254,408,62.3,3057,19,4,138.6,26
33,2025,Texas,3054,13,10,3,0,.769,396,264,132,291,465,62.6,3054,18,16,123.6,41
34,2025,Arizona State,3035,13,8,5,0,.615,335,318,17,277,459,60.3,3035,20,8,126.8,34
35,2025,Syracuse,3033,12,3,9,0,.250,242,419,-177,259,391,66.2,3033,23,5,148.3,20
36,2025,Georgia,3031,14,12,2,0,.857,449,246,203,279,459,60.8,3031,14,9,122.4,20
37,2025,Oklahoma State,3029,12,1,11,0,.083,170,400,-230,223,340,65.6,3029,28,6,164.1,22
38,2025,Indiana,3021,16,16,0,0,1.000,666,187,479,302,487,62.0,3021,10,19,113.1,46
39,2025,East Carolina,3000,13,9,4,0,.692,425,261,164,288,454,63.4,3000,16,10,126.2,34
40,2025,Navy,2990,13,11,2,0,.846,409,325,84,239,372,64.2,2990,21,7,146.6,27
41,2025,Ole Miss,2984,15,13,2,0,.867,554,316,238,260,458,56.8,2984,17,9,119.8,33
42,2025,Missouri State,2983,13,7,6,0,.538,333,374,-41,265,413,64.2,2983,19,8,136.1,24
43,2025,Southern Mississippi,2980,13,7,6,0,.538,374,356,18,272,429,63.4,2980,13,23,121.0,29
44,2025,New Mexico,2979,13,9,4,0,.692,352,290,62,282,412,68.4,2979,19,9,140.0,36
45,2025,Memphis,2953,13,8,5,0,.615,422,301,121,238,392,60.7,2953,16,12,131.3,21
46,2025,Hawaii,2953,13,9,4,0,.692,377,313,64,234,394,59.4,2953,15,8,130.9,30
47,2025,San Jose State,2943,12,3,9,0,.250,257,390,-133,226,345,65.5,2943,18,7,150.3,17
48,2025,BYU,2936,14,12,2,0,.857,440,268,172,260,452,57.5,2936,17,17,117.0,30
49,2025,Western Kentucky,2915,13,9,4,0,.692,384,297,87,257,466,55.2,2915,12,9,112.3,19
50,2025,Louisiana,2913,13,6,7,0,.462,338,380,-42,252,379,66.5,2913,18,9,142.0,23
51,2025,Purdue,2900,12,2,10,0,.167,225,382,-157,202,312,64.7,2900,15,4,156.1,24
52,2025,Mississippi State,2899,13,5,8,0,.385,395,393,2,239,396,60.4,2899,24,13,135.3,21
53,2025,UTSA,2895,13,7,6,0,.538,462,375,87,236,394,59.9,2895,26,11,137.8,24
54,2025,Georgia State,2889,12,1,11,0,.083,237,454,-217,219,340,64.4,2889,25,3,158.3,18
55,2025,Kentucky,2879,12,5,7,0,.417,276,317,-41,221,358,61.7,2879,16,12,137.3,25
56,2025,Arkansas,2871,12,2,10,0,.167,395,406,-11,213,339,62.8,2871,22,6,151.8,22
57,2025,Cincinnati,2866,13,7,6,0,.538,394,333,61,260,389,66.8,2866,20,2,144.7,23
58,2025,Houston,2845,13,10,3,0,.769,378,297,81,243,403,60.3,2845,16,12,126.7,28
59,2025,New Mexico State,2842,12,4,8,0,.333,259,331,-72,260,408,63.7,2842,25,15,135.1,19
60,2025,Connecticut,2840,13,9,4,0,.692,459,351,108,257,393,65.4,2840,17,11,134.8,37
61,2025,Illinois,2839,13,9,4,0,.692,382,307,75,273,429,63.6,2839,19,6,131.0,29
62,2025,Texas State,2835,13,7,6,0,.538,474,377,97,266,402,66.2,2835,23,9,139.8,27
63,2025,Kent State,2832,12,5,7,0,.417,255,403,-148,232,389,59.6,2832,25,6,138.9,23
64,2025,Florida Atlantic,2822,12,4,8,0,.333,354,436,-82,238,370,64.3,2822,20,3,144.6,22
65,2025,Miami (OH),2805,14,7,7,0,.500,329,304,25,247,437,56.5,2805,22,14,120.6,40
66,2025,UAB,2787,12,4,8,0,.333,317,459,-142,189,286,66.1,2787,27,4,176.3,18
67,2025,Michigan State,2776,12,4,8,0,.333,295,359,-64,242,367,65.9,2776,23,5,147.4,22
68,2025,Auburn,2758,12,5,7,0,.417,321,248,73,238,381,62.5,2758,15,11,130.5,30
69,2025,Akron,2750,12,5,7,0,.417,267,329,-62,214,355,60.3,2750,20,11,137.7,26
70,2025,Michigan,2748,13,9,4,0,.692,358,265,93,271,426,63.6,2748,17,13,124.9,28
71,2025,Washington,2747,13,9,4,0,.692,443,243,200,269,448,60.0,2747,17,14,117.8,24
72,2025,Troy,2747,14,8,6,0,.571,329,335,-6,235,390,60.3,2747,16,10,127.8,37
73,2025,Virginia,2738,14,11,3,0,.786,431,274,157,245,412,59.5,2738,15,14,120.5,31
74,2025,Minnesota,2737,13,8,5,0,.615,299,298,1,248,370,67.0,2737,16,9,138.6,39
75,2025,Ball State,2722,12,4,8,0,.333,190,358,-168,219,354,61.9,2722,23,9,142.8,23
76,2025,Central Michigan,2722,13,7,6,0,.538,293,306,-13,238,410,58.0,2722,18,13,122.0,28
77,2025,Maryland,2718,12,4,8,0,.333,282,318,-36,242,383,63.2,2718,25,19,134.4,27
78,2025,Ohio,2705,13,9,4,0,.692,361,285,76,231,360,64.2,2705,19,12,138.0,22
79,2025,USC,2698,13,9,4,0,.692,465,299,166,259,394,65.7,2698,22,12,135.6,31
80,2025,Virginia Tech,2698,12,3,9,0,.250,257,362,-105,234,348,67.2,2698,18,4,147.1,19
81,2025,Wake Forest,2690,13,9,4,0,.692,365,287,78,270,457,59.1,2690,12,4,115.4,30
82,2025,Rutgers,2675,12,5,7,0,.417,344,382,-38,204,312,65.4,2675,23,5,158.5,11
83,2025,Florida,2675,12,4,8,0,.333,259,288,-29,214,335,63.9,2675,13,10,137.8,26
84,2025,Oregon State,2669,12,2,10,0,.167,218,353,-135,198,348,56.9,2669,22,8,137.6,15
85,2025,Kansas State,2669,12,6,6,0,.500,353,320,33,222,391,56.8,2669,14,13,119.3,28
86,2025,Louisiana-Monroe,2667,12,3,9,0,.250,199,383,-184,224,354,63.3,2667,21,5,143.3,24
87,2025,California,2667,13,7,6,0,.538,329,353,-24,259,420,61.7,2667,14,8,122.2,21
88,2025,UTEP,2662,12,2,10,0,.167,280,365,-85,235,380,61.8,2662,19,5,134.6,28
89,2025,Texas Tech,2662,14,12,2,0,.857,552,165,387,286,483,59.2,2662,11,17,106.0,41
90,2025,LSU,2660,13,7,6,0,.538,297,258,39,247,414,59.7,2660,14,17,116.6,27
91,2025,Colorado State,2653,12,2,10,0,.167,222,370,-148,205,325,63.1,2653,18,8,145.0,16
92,2025,Nevada,2643,12,3,9,0,.250,211,330,-119,231,356,64.9,2643,12,11,132.2,19
93,2025,Iowa State,2622,12,8,4,0,.667,329,242,87,237,387,61.2,2622,14,11,124.4,13
94,2025,Wisconsin,2619,12,4,8,0,.333,154,259,-105,240,344,69.8,2619,19,5,149.0,32
95,2025,South Carolina,2596,12,4,8,0,.333,272,265,7,225,373,60.3,2596,13,12,123.9,21
96,2025,Tulsa,2571,12,4,8,0,.333,278,347,-69,220,347,63.4,2571,21,7,141.6,23
97,2025,Kansas,2569,12,5,7,0,.417,337,321,16,227,355,63.9,2569,19,4,140.1,25
98,2025,Notre Dame,2561,12,10,2,0,.833,504,211,293,230,413,55.7,2561,14,21,108.8,34
99,2025,Massachusetts,2550,12,0,12,0,.000,133,463,-330,200,297,67.3,2550,29,4,169.0,13
100,2025,Alabama,2549,15,11,4,0,.733,443,288,155,246,396,62.1,2549,16,11,124.0,33
101,2025,James Madison,2542,14,12,2,0,.857,519,257,262,214,421,50.8,2542,18,14,109.0,36
102,2025,Oklahoma,2538,13,10,3,0,.769,341,201,140,240,407,59.0,2538,11,9,115.8,45
103,2025,North Carolina,2535,12,4,8,0,.333,231,294,-63,245,385,63.6,2535,15,6,128.7,32
104,2025,Western Michigan,2519,14,10,4,0,.714,348,243,105,216,390,55.4,2519,14,12,115.3,43
105,2025,Northwestern,2516,13,7,6,0,.538,304,258,46,223,347,64.3,2516,13,9,132.3,23
106,2025,Old Dominion,2489,13,10,3,0,.769,416,241,175,247,409,60.4,2489,16,15,117.1,39
107,2025,Army,2475,13,7,6,0,.538,310,281,29,228,359,63.5,2475,15,8,130.8,15
108,2025,South Alabama,2460,12,4,8,0,.333,318,365,-47,207,340,60.9,2460,19,6,136.6,12
109,2025,Boise State,2458,14,9,5,0,.643,418,337,81,217,399,54.4,2458,17,14,113.2,27
110,2025,Louisville,2454,13,9,4,0,.692,389,275,114,242,409,59.2,2454,15,14,114.8,31
111,2025,Colorado,2438,12,3,9,0,.250,251,366,-115,179,323,55.4,2438,18,6,133.5,13
112,2025,Bowling Green,2420,12,4,8,0,.333,246,291,-45,189,321,58.9,2420,15,6,133.9,22
113,2025,Penn State,2395,13,7,6,0,.538,403,267,136,230,366,62.8,2395,16,6,129.0,32
114,2025,Temple,2394,12,5,7,0,.417,334,356,-22,189,309,61.2,2394,18,7,140.9,16
115,2025,Oregon,2369,15,13,2,0,.867,554,268,286,226,424,53.3,2369,19,15,107.9,30
116,2025,Liberty,2361,12,4,8,0,.333,307,318,-11,203,350,58.0,2361,17,7,126.7,16
117,2025,UCLA,2359,12,3,9,0,.250,218,401,-183,215,326,66.0,2359,23,4,147.6,10
118,2025,Baylor,2339,12,5,7,0,.417,373,391,-18,214,344,62.2,2339,17,9,130.4,12
119,2025,North Texas,2327,14,12,2,0,.857,631,371,260,218,388,56.2,2327,16,15,112.4,24
120,2025,Utah,2312,13,11,2,0,.846,537,246,291,190,385,49.4,2312,12,15,102.3,34
121,2025,Texas A&M,2296,13,11,2,0,.846,439,273,166,214,381,56.2,2296,17,3,119.9,43
122,2025,Florida State,2289,12,5,7,0,.417,396,264,132,203,326,62.3,2289,20,12,134.1,31
123,2025,Washington State,2267,13,7,6,0,.538,293,263,30,224,352,63.6,2267,16,6,129.3,31
